Unnamed: 0,CIK,Name of fund,Quater of report,Signing date,Name of Issuer,Ticker of Issuer,CUSIP,Value (x$1000),Shares,Shares type,Investment Discretion,Voting Sole,Shared,None,Ticker of Issuer 2
0,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,A10 NETWORKS INC,ATEN,002121101,188585,10041,SH,SOLE,10041,0,0,ATEN
1,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ABBVIE INC,ABBV,00287Y109,140,1340,SH,SOLE,1340,0,0,ABBV
2,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ACCEL ENTERTAINMENT INC,acel,00436Q106,217,287328,SH,SOLE,287328,0,0,
3,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ADTRAN INC,ADTN,00738A106,3500,187092,SH,SOLE,187092,0,0,ADTN
4,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERESCO INC,AMRC,02361E108,3452,10401,SH,SOLE,10401,0,0,AMRC
5,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERICAN VANGUARD CORPORATION,AVD,030371108,827,10529,SH,SOLE,10529,0,0,AVD
6,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERIS BANCORP,ABCB,03076K108,214,53857,SH,SOLE,53857,0,0,ABCB
7,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMMO INC,POWW,00175J107,2363,105000,SH,SOLE,105000,0,0,RTRO
8,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ANI PHARMACEUTICALS INC,ANIP,00182C103,504,18178,SH,SOLE,18178,0,0,ANIP
9,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,APOLLO ENDOSURGERY INC,APEN,03767D108,511,73932,SH,SOLE,73932,0,0,APEN
10,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ARCUTIS BIOTHERAPEUTICS INC,ARQT,03969K108,447,75192,SH,SOLE,75192,0,0,ARQT
11,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ARGO GROUP INTERNATIONAL HOLDINGS LTD,No Symbol Found,G0464B107,1448,39861,SH,SOLE,39861,0,0,AGII
12,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AVIENT CORPORATION,AVNT,05368V106,1645,90505,SH,SOLE,90505,0,0,
13,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,BM TECHNOLOGIES INC,BMTX,05591L107,4344,342405,SH,SOLE,342405,0,0,
14,1584087,1492 Capital Management LLC,2022-03-31,2022-05-11,BOX INC,BOX,10316T104,2928,46472,SH,SOLE,46472,0,0,BOX
