,CIK,Name of fund,Quater of report,Signing date,Name of Issuer,Ticker of Issuer,CUSIP,Value (x$1000),Shares,Shares type,Investment Discretion,Voting Sole,Shared,None
0,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,A10 NETWORKS INC,ATEN,002121101,188585,10041,SH,SOLE,10041,0,0
1,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ABBVIE INC,ABBV,00287Y109,140,1340,SH,SOLE,1340,0,0
2,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ACCEL ENTERTAINMENT INC,acel,00436Q106,217,287328,SH,SOLE,287328,0,0
3,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ADTRAN INC,ADTN,00738A106,3500,187092,SH,SOLE,187092,0,0
4,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERESCO INC,AMRC,02361E108,3452,10401,SH,SOLE,10401,0,0
5,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERICAN VANGUARD CORP,AVD,030371108,827,10529,SH,SOLE,10529,0,0
6,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMERIS BANCORP,ABCB,03076K108,214,53857,SH,SOLE,53857,0,0
7,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AMMO INC,POWW,00175J107,2363,105000,SH,SOLE,105000,0,0
8,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ANI PHARMACEUTICALS INC,ANIP,00182C103,504,18178,SH,SOLE,18178,0,0
9,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,APOLLO ENDOSURGERY INC,APEN,03767D108,511,73932,SH,SOLE,73932,0,0
10,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ARCUTIS BIOTHERAPEUTICS INC,ARQT,03969K108,447,75192,SH,SOLE,75192,0,0
11,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ARGO GROUP INTL HLDGS LTD,No Symbol Found,G0464B107,1448,39861,SH,SOLE,39861,0,0
12,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,AVIENT CORPORATION,AVNT,05368V106,1645,90505,SH,SOLE,90505,0,0
13,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,BM TECHNOLOGIES INC,BMTX,05591L107,4344,342405,SH,SOLE,342405,0,0
14,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,BOX INC,BOX,10316T104,2928,46472,SH,SOLE,46472,0,0
15,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CACI INTL INC,CA8A.F,127190304,1350,10079,SH,SOLE,10079,0,0
16,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CADENCE BANK,CADE,12740C103,3036,7560,SH,SOLE,7560,0,0
17,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CAESARS ENTERTAINMENT INC NE,No Symbol Found,12769G100,222,47603,SH,SOLE,47603,0,0
18,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CARPENTER TECHNOLOGY CORP,CRS,144285103,3683,76283,SH,SOLE,76283,0,0
19,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CERENCE INC,CRNC,156727109,3202,42338,SH,SOLE,42338,0,0
20,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CHARLES RIV LABS INTL INC,No Symbol Found,159864107,1528,5728,SH,SOLE,5728,0,0
21,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CHART INDS INC,I3N.BE,16115Q308,1627,7742,SH,SOLE,7742,0,0
22,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CIRRUS LOGIC INC,CRUS,172755100,1330,18523,SH,SOLE,18523,0,0
23,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CITY OFFICE REIT INC,CIO,178587101,1571,12218,SH,SOLE,12218,0,0
24,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CLARUS CORP NEW,No Symbol Found,18270P109,216,9784,SH,SOLE,9784,0,0
25,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,COPA HOLDINGS SA,CPA,P31076105,223,44271,SH,SOLE,44271,0,0
26,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,CUSTOM TRUCK ONE SOURCE INC,CTOS,23204X103,3703,129058,SH,SOLE,129058,0,0
27,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DARLING INGREDIENTS INC,DAR,237266101,1083,62973,SH,SOLE,62973,0,0
28,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DIGITAL TURBINE INC,APPS,25400W102,5062,75601,SH,SOLE,75601,0,0
29,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DOCGO INC,DCGO,256086109,3312,104227,SH,SOLE,104227,0,0
30,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DOUBLEVERIFY HLDGS INC,No Symbol Found,25862V105,964,101155,SH,SOLE,101155,0,0
31,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DRAFTKINGS INC,DKNG,26142R104,2546,52752,SH,SOLE,52752,0,0
32,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DYNATRACE INC,DT,268150109,1027,22919,SH,SOLE,22919,0,0
33,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,DZS INC,DZSI,268211109,1079,55806,SH,SOLE,55806,0,0
34,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,EAGLE MATLS INC,No Symbol Found,26969P108,774,8079,SH,SOLE,8079,0,0
35,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,EMERALD HOLDING INC,EEX,29103W104,1037,511069,SH,SOLE,511069,0,0
36,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,FB FINL CORP,No Symbol Found,30257X104,1738,39215,SH,SOLE,39215,0,0
37,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,FERROGLOBE PLC,GSM,G33856108,1742,256097,SH,SOLE,256097,0,0
38,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,G III APPAREL GROUP LTD,GIII,36237H101,1972,73866,SH,SOLE,73866,0,0
39,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,GAMIDA CELL LTD,GMDA,M47364100,1998,10000,SH,SOLE,10000,0,0
40,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,GLOBAL MED REIT INC,GMRE,37954A204,42,13678,SH,SOLE,13678,0,0
41,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,GRAPHIC PACKAGING HLDG CO,No Symbol Found,388689101,223,91876,SH,SOLE,91876,0,0
42,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,HEIDRICK & STRUGGLES INTL IN,HSI.SG,422819102,1841,5559,SH,SOLE,5559,0,0
43,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,HIGHPEAK ENERGY INC,HPK,43114Q105,220,187028,SH,SOLE,187028,0,0
44,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,HORIZON THERAPEUTICS PUB L,HZNP,G46188101,4152,121840,SH,SOLE,121840,0,0
45,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,HUDBAY MINERALS INC,HBM,443628102,12819,25319,SH,SOLE,25319,0,0
46,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ISHARES TR,REM,464288687,199,6586,SH,SOLE,6586,0,0
47,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ISHARES TR,REM,46429B655,240,8888,SH,SOLE,8888,0,0
48,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,KALEYRA INC,KLR,483379103,449,448287,SH,SOLE,448287,0,0
49,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,KORN FERRY,KFY,500643200,2681,43480,SH,SOLE,43480,0,0
50,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,LIVENT CORP,LTHM,53814L108,2824,318459,SH,SOLE,318459,0,0
51,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,LOVESAC COMPANY,LOVE,54738L109,8302,23367,SH,SOLE,23367,0,0
52,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,LSB INDS INC,No Symbol Found,502160104,1263,115077,SH,SOLE,115077,0,0
53,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,LUMENTUM HLDGS INC,No Symbol Found,55024U109,2513,18924,SH,SOLE,18924,0,0
54,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MAGNACHIP SEMICONDUCTOR CORP,MX,55933J203,1847,203429,SH,SOLE,203429,0,0
55,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MAGNITE INC,MGNI,55955D100,3440,58646,SH,SOLE,58646,0,0
56,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MANNKIND CORP,MNKD,56400P706,775,557051,SH,SOLE,557051,0,0
57,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MARCUS CORP DEL,No Symbol Found,566330106,2050,11971,SH,SOLE,11971,0,0
58,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MAXLINEAR INC,MXL,57776J100,212,113361,SH,SOLE,113361,0,0
59,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,MICROSOFT CORP,MSFT,594918104,6615,1123,SH,SOLE,1123,0,0
60,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,NAVIGATOR HLDGS LTD,1NV.F,Y62132108,346,13916,SH,SOLE,13916,0,0
61,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,NVIDIA CORPORATION,NVDA,67066G104,170,817,SH,SOLE,817,0,0
62,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,OLLIES BARGAIN OUTLET HLDGS,No Symbol Found,681116109,224,16697,SH,SOLE,16697,0,0
63,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,OPEN LENDING CORP,LPRO,68373J104,717,52217,SH,SOLE,52217,0,0
64,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PACIRA BIOSCIENCES INC,PCRX,695127100,987,12610,SH,SOLE,12610,0,0
65,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PARATEK PHARMACEUTICALS INC,PRTK,699374302,962,509828,SH,SOLE,509828,0,0
66,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PATTERSON-UTI ENERGY INC,PTEN,703481101,1514,133320,SH,SOLE,133320,0,0
67,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PAYCOM SOFTWARE INC,PAYC,70432V102,2064,992,SH,SOLE,992,0,0
68,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PENN NATL GAMING INC,No Symbol Found,707569109,344,21398,SH,SOLE,21398,0,0
69,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PERION NETWORK LTD,PERI,M78673114,908,197891,SH,SOLE,197891,0,0
70,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PHYSICIANS RLTY TR,No Symbol Found,71943U104,4451,13373,SH,SOLE,13373,0,0
71,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PILGRIMS PRIDE CORP,PPC,72147K108,235,45703,SH,SOLE,45703,0,0
72,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PILGRIMS PRIDE CORP,PPC,72147K908,1147,10000,SH,SOLE,10000,0,0
73,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PING IDENTITY HLDG CORP,No Symbol Found,72341T103,251,52887,SH,SOLE,52887,0,0
74,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,POWERSCHOOL HOLDINGS INC,PWSC,73939C106,1451,85698,SH,SOLE,85698,0,0
75,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PROPETRO HLDG CORP,No Symbol Found,74347M108,1415,202295,SH,SOLE,202295,0,0
76,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,PURECYCLE TECHNOLOGIES INC,PCT,74623V111,2818,159811,SH,SOLE,159811,0,0
77,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,QUALTEK SERVICES INC,QTEK,74760R113,459,79881,SH,SOLE,79881,0,0
78,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,QUIDEL CORP,QDEL,74838J101,46,7969,SH,SOLE,7969,0,0
79,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,RANGER OIL CORPORATION,ROCC,70788V102,896,102352,SH,SOLE,102352,0,0
80,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,REPLIGEN CORP,RGEN,759916109,3534,5623,SH,SOLE,5623,0,0
81,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,RESERVOIR MEDIA INC,RSVR,76119X113,1058,156188,SH,SOLE,156188,0,0
82,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,RINGCENTRAL INC,RNG,76680R206,351,26971,SH,SOLE,26971,0,0
83,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ROTH CH ACQUISITION IV CO,ROCGU,77867P104,3161,418679,SH,SOLE,418679,0,0
84,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,ROTH CH ACQUISITION IV CO,ROCGU,77867P112,4149,211997,SH,SOLE,211997,0,0
85,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SEACOAST BKG CORP FLA,No Symbol Found,811707801,57,33532,SH,SOLE,33532,0,0
86,0001584087,1492 Capital Management LLC,2022-03-31,2022-05-11,SEELOS THERAPEUTICS INC,SEEL,81577F109,1174,99819,SH,SOLE,99819,0,0
